From Timestamp,HH Electricity (kWh),HH Cooling (kWh),HH Boiler (kWh),DE Electricity (kWh),DE Boiler (kWh)
2018-01-07 04:30:00,11.8,0.6123,3.8,,2.8
2018-01-07 05:00:00,12.0,0.6123,1.5,,2.9
2018-01-07 05:30:00,12.8,0.6611,2.6,,2.8
2018-01-07 06:00:00,12.8,0.6934,3.8,,2.9
2018-01-07 06:30:00,12.8,0.6074,1.1,,2.9
2018-01-07 07:00:00,14.0,0.4609,2.7,,2.9
2018-01-07 07:30:00,13.8,0.5566,3.7,,3.0
2018-01-07 08:00:00,13.6,0.6406,1.2,,2.9
2018-01-07 08:30:00,14.0,0.5918,2.6,,3.0
2018-01-07 09:00:00,13.8,0.5977,3.6,,2.9
2018-01-07 09:30:00,13.3,0.6104,1.3,,3.0
2018-01-07 10:00:00,13.9,0.4619,2.4,,2.8
2018-01-07 10:30:00,13.8,0.5732,3.5,,2.7
2018-01-07 11:00:00,13.91,0.6338,1.5,,2.7
2018-01-07 11:30:00,13.4,0.6143,2.2,,2.7
2018-01-07 12:00:00,14.4,0.5703,3.8,,2.7
2018-01-07 12:30:00,14.4,0.5303,1.4,,2.6
2018-01-07 13:00:00,13.7,0.5801,2.7,,2.7
2018-01-07 13:30:00,13.7,0.6191,3.6,,2.7
2018-01-07 14:00:00,13.7,0.5938,1.3,,2.6
2018-01-07 14:30:00,14.0,0.5547,2.5,,2.4
2018-01-07 15:00:00,14.3,0.5,3.6,,2.4
2018-01-07 15:30:00,14.6,0.5596,1.3,,2.4
2018-01-07 16:00:00,14.1,0.623,2.4,,2.6
2018-01-07 16:30:00,12.8,0.5908,3.6,,2.6
2018-01-07 17:00:00,13.5,0.5615,1.5,,2.5
2018-01-07 17:30:00,13.2,0.502,2.2,,2.7
2018-01-07 18:00:00,13.0,0.6299,4.0,,2.7
2018-01-07 18:30:00,12.5,0.5986,1.4,,2.7
2018-01-07 19:00:00,12.3,0.4922,2.2,,2.7
2018-01-07 19:30:00,12.0,0.4824,2.3,,2.6
2018-01-07 20:00:00,12.5,0.5537,2.1,,2.6
2018-01-07 20:30:00,12.1,0.6514,0.9,,2.7
2018-01-07 21:00:00,12.4,0.6309,7.4,,2.7
2018-01-07 21:30:00,13.8,0.5967,60.0,,3.1
2018-01-07 22:00:00,14.4,0.5820000000000001,74.7,,2.8
2018-01-07 22:30:00,14.1,0.7861,72.1,,2.7
2018-01-07 23:00:00,15.0,0.833,58.2,,2.5
2018-01-07 23:30:00,14.1,0.7793,61.1,,2.5
2018-01-08 00:00:00,13.9,0.6553,60.7,,2.4
2018-01-08 00:30:00,14.2,0.6621,51.9,,2.4
2018-01-08 01:00:00,13.8,0.8418,55.2,,2.3
2018-01-08 01:30:00,14.2,0.8018,59.7,,2.3
2018-01-08 02:00:00,13.41,0.6943,59.1,,2.4
2018-01-08 02:30:00,12.4,0.5967,7.8,,2.3
2018-01-08 03:00:00,11.9,0.6035,1.4,,2.4
2018-01-08 03:30:00,11.8,0.5908,1.9,,2.4
2018-01-08 04:00:00,11.91,0.5811,1.3,,2.4
2018-01-08 04:30:00,11.5,0.5156,2.7,,2.4
2018-01-08 05:00:00,11.8,0.502,5.4,,5.1000000000000005
2018-01-08 05:30:00,13.0,0.5967,6.7,,2.3
2018-01-08 06:00:00,13.5,0.584,3.1,,2.1
